date,paid_order_count,paid_revenue,sources
2025-07-26,1,599.00,website
2025-07-29,1,563.00,daraz
2025-09-08,28,4822.00,daraz
2025-09-09,7,623.00,daraz
2025-09-11,2,1138.00,daraz
2025-09-19,2,1138.00,daraz
2025-10-04,2,1198.00,daraz
2025-11-18,10,9420.00,daraz
2025-11-21,1,1884.00,website
2026-01-29,1,1100.00,daraz
2026-02-06,1,1100.00,website
2026-02-18,1,942.00,daraz
2026-02-25,5,4710.00,daraz
2026-03-04,3,2826.00,website
2026-04-02,1,942.00,daraz
2026-04-23,1,1100.00,daraz
2026-05-22,1,2042.00,website
2026-06-06,2,895.00,daraz
2026-06-16,1,2984.00,website
2026-07-09,2,895.00,daraz
2026-07-16,1,1884.00,website
2026-07-17,2,895.00,daraz
2026-07-19,3,1790.00,daraz
2026-07-24,1,11304.00,website
