diameter_mm,color_category,texture_category,grade
5.1,pale_golden_tan,immaculate,Alba
5.4,pale_golden_tan,very_clean_under_15_percent_spots,Alba
5.6,pale_golden_tan,immaculate,Alba
5.3,pale_golden_tan,very_clean_under_15_percent_spots,Alba
5.8,pale_golden_tan,immaculate,Alba
5.9,pale_golden_tan,very_clean_under_15_percent_spots,Alba
5.2,pale_golden_tan,immaculate,Alba
5.7,pale_golden_tan,very_clean_under_15_percent_spots,Alba
5.5,pale_golden_tan,immaculate,Alba
5.6,pale_golden_tan,very_clean_under_15_percent_spots,Alba
6.1,deep_yellow_golden_brown,very_clean_under_15_percent_spots,C5
6.3,deep_yellow_golden_brown,very_clean_under_15_percent_spots,C5
6.2,deep_yellow_golden_brown,very_clean_under_15_percent_spots,C5
6.6,deep_yellow_golden_brown,moderately_patchy_40_to_60_percent,C5
6.4,deep_yellow_golden_brown,very_clean_under_15_percent_spots,C5
6.8,deep_yellow_golden_brown,moderately_patchy_40_to_60_percent,C5
6.7,deep_yellow_golden_brown,very_clean_under_15_percent_spots,C5
6.5,deep_yellow_golden_brown,moderately_patchy_40_to_60_percent,C5
6.9,deep_yellow_golden_brown,very_clean_under_15_percent_spots,C5
6.2,deep_yellow_golden_brown,moderately_patchy_40_to_60_percent,C5
