diameter_mm,color_category,texture_category,grade
7.2,deep_yellow_golden_brown,moderately_patchy_40_to_60_percent,C4
7.6,deep_yellow_golden_brown,moderately_patchy_40_to_60_percent,C4
7.8,deep_yellow_golden_brown,very_clean_under_15_percent_spots,C4
8.1,deep_yellow_golden_brown,moderately_patchy_40_to_60_percent,C4
8.4,deep_yellow_golden_brown,moderately_patchy_40_to_60_percent,C4
8.7,deep_yellow_golden_brown,rough_heavily_discoloured,C4
8.9,deep_yellow_golden_brown,moderately_patchy_40_to_60_percent,C4
7.9,deep_yellow_golden_brown,very_clean_under_15_percent_spots,C4
8.2,deep_yellow_golden_brown,moderately_patchy_40_to_60_percent,C4
8.6,deep_yellow_golden_brown,rough_heavily_discoloured,C4
9.2,medium_brown_with_patches,moderately_patchy_40_to_60_percent,Mexico
9.5,medium_brown_with_patches,moderately_patchy_40_to_60_percent,Mexico
9.7,medium_brown_with_patches,rough_heavily_discoloured,Mexico
10.1,medium_brown_with_patches,rough_heavily_discoloured,Mexico
10.4,medium_brown_with_patches,moderately_patchy_40_to_60_percent,Mexico
10.8,medium_brown_with_patches,rough_heavily_discoloured,Mexico
11.0,medium_brown_with_patches,rough_heavily_discoloured,Mexico
9.9,medium_brown_with_patches,moderately_patchy_40_to_60_percent,Mexico
10.2,medium_brown_with_patches,rough_heavily_discoloured,Mexico
10.6,medium_brown_with_patches,moderately_patchy_40_to_60_percent,Mexico
11.2,rough_dark_brown,rough_heavily_discoloured,Hamburg
11.6,rough_dark_brown,rough_heavily_discoloured,Hamburg
12.0,rough_dark_brown,rough_heavily_discoloured,Hamburg
12.4,rough_dark_brown,rough_heavily_discoloured,Hamburg
12.9,rough_dark_brown,rough_heavily_discoloured,Hamburg
13.3,rough_dark_brown,rough_heavily_discoloured,Hamburg
13.8,rough_dark_brown,rough_heavily_discoloured,Hamburg
12.7,rough_dark_brown,moderately_patchy_40_to_60_percent,Hamburg
11.9,rough_dark_brown,rough_heavily_discoloured,Hamburg
13.1,rough_dark_brown,rough_heavily_discoloured,Hamburg
